#6-1,1차,2차
0,508,529
10,453,458
20,374,360
30,248,243
40,143,142
50,62,66
60,22,20
70,5,5
80,3,3
90,3,3
100,4,4
110,12,14
120,51,50
130,130,127
140,250,226
150,352,343
160,442,446
170,498,538
180,516,549
[deg],,
